Day,Max (2012-2025),Average (2012-2025),Min (2012-2025),Year 2025
07 Jan,8652,1534.07,0,0
14 Jan,3507,757.00,0,931
21 Jan,1095,283.21,0,1095
28 Jan,2868,581.21,0,276
04 Feb,8246,1389.14,0,0
11 Feb,4205,869.36,0,503
18 Feb,13409,2018.79,0,1012
25 Feb,7495,2492.43,0,1665
04 Mar,19999,2980.07,0,0
11 Mar,15475,3772.93,142,1238
18 Mar,17641,3728.43,0,370
25 Mar,6458,1956.29,0,1195
01 Apr,47343,8609.71,0,2389
08 Apr,6964,2341.93,311,1779
15 Apr,14510,2072.00,0,1617
22 Apr,23309,2955.29,0,205
29 Apr,6248,943.07,0,497
06 May,1819,489.29,0,1165
13 May,2143,707.14,0,0
20 May,16270,2550.86,0,346
27 May,1349,572.57,0,477
03 Jun,3748,567.07,0,348
10 Jun,6498,1245.14,0,1983
17 Jun,34204,3665.00,0,2335
24 Jun,18988,2181.71,0,1712
01 Jul,46577,5460.64,0,788
08 Jul,24271,3784.86,190,7455
15 Jul,68764,7531.57,884,884
22 Jul,59313,7446.50,615,7149
29 Jul,13229,5552.21,315,9082
05 Aug,13707,5511.00,522,4695
12 Aug,135816,14783.29,1346,135816
19 Aug,202993,23774.43,403,202993
26 Aug,21404,6001.36,150,9874
02 Sep,25656,6234.00,994,4071
09 Sep,19260,5338.21,0,1044
16 Sep,14490,3470.00,0,3109
23 Sep,17101,4114.29,0,17101
30 Sep,10605,2718.29,155,5425
07 Oct,6114,2286.14,204,4889
14 Oct,28293,3823.36,206,2877
21 Oct,27398,3502.93,0,4373
28 Oct,4670,1799.86,0,2180
04 Nov,7234,1620.21,0,1109
11 Nov,3782,590.64,0,617
18 Nov,2935,1109.79,0,2163
25 Nov,1318,485.50,0,293
02 Dec,1307,368.64,0,0
09 Dec,3467,518.36,0,682
16 Dec,1355,284.50,0,0
23 Dec,17009,1453.43,0,0
30 Dec,6827,1095.71,0,0
