December North America + Greenland Snow Cover Extent (1966-2025)
Units,million square km
1991-2020 Mean,16.90
Decadal Trend,+0.05
Date,Value,Anomaly
1966,16.13,-0.77
1967,16.57,-0.33
1968,17.29,0.39
1969,17.17,0.27
1970,17.33,0.43
1971,17.13,0.23
1972,17.34,0.44
1973,16.62,-0.28
1974,15.65,-1.25
1975,16.61,-0.29
1976,15.96,-0.94
1977,16.54,-0.36
1978,17.65,0.75
1979,14.94,-1.96
1980,14.56,-2.34
1981,16.64,-0.26
1982,16.35,-0.55
1983,18.03,1.13
1984,16.69,-0.21
1985,18.03,1.13
1986,15.79,-1.11
1987,16.16,-0.74
1988,15.70,-1.20
1989,17.58,0.68
1990,16.93,0.03
1991,16.07,-0.83
1992,17.95,1.05
1993,16.02,-0.88
1994,16.64,-0.26
1995,16.47,-0.43
1996,16.71,-0.19
1997,16.86,-0.04
1998,16.40,-0.50
1999,15.36,-1.54
2000,17.92,1.02
2001,16.58,-0.32
2002,16.17,-0.73
2003,17.05,0.15
2004,16.19,-0.71
2005,17.08,0.18
2006,16.31,-0.59
2007,17.97,1.07
2008,17.66,0.76
2009,18.27,1.37
2010,17.81,0.91
2011,16.17,-0.73
2012,17.34,0.44
2013,17.91,1.01
2014,16.43,-0.47
2015,16.83,-0.07
2016,17.65,0.75
2017,16.71,-0.19
2018,16.95,0.05
2019,17.16,0.26
2020,16.50,-0.40
2021,16.82,-0.08
2022,17.44,0.54
2023,14.94,-1.96
2024,16.19,-0.71
2025,16.60,-0.30
